code,teer,title
53122,1,"Painters, sculptors and other visual artists"
53123,1,"Theatre, fashion, exhibit and other creative designers"
53124,1,"Artisans and craftspersons"
53125,1,"Patternmakers - textile, leather and fur products"
53200,2,"Athletes"
53201,2,"Coaches"
53202,2,"Sports officials and referees"
54100,1,"Program leaders and instructors in recreation, sport and fitness"
55109,1,"Other performers"
60010,0,"Corporate sales managers"
60020,0,"Retail and wholesale trade managers"
60030,0,"Restaurant and food service managers"
60031,0,"Accommodation service managers"
60040,0,"Managers in customer and personal services"
62010,0,"Retail sales supervisors"
62020,0,"Food service supervisors"
62021,0,"Executive housekeepers"
62022,0,"Accommodation, travel, tourism and related services supervisors"
62023,0,"Customer and information services supervisors"
62024,0,"Cleaning supervisors"
62029,0,"Other services supervisors"
62100,1,"Technical sales specialists - wholesale trade"
62101,1,"Retail and wholesale buyers"
62200,2,"Chefs"
62201,2,"Funeral directors and embalmers"
62202,2,"Jewellers, jewellery and watch repairers and related occupations"
63100,1,"Insurance agents and brokers"
63101,1,"Real estate agents and salespersons"
63102,1,"Financial sales representatives"
63200,2,"Cooks"
63201,2,"Butchers - retail and wholesale"
63202,2,"Bakers"
63210,2,"Hairstylists and barbers"
63211,2,"Estheticians, electrologists and related occupations"
63220,2,"Shoe repairers and shoemakers"
63221,2,"Upholsterers"
64100,1,"Retail salespersons and visual merchandisers"
64101,1,"Sales and account representatives - wholesale trade (non-technical)"
64200,2,"Tailors, dressmakers, furriers and milliners"
64201,2,"Image, social and other personal consultants"
64300,3,"Maîtres d'hôtel and hosts/hostesses"
64301,3,"Bartenders"
64310,3,"Travel counsellors"
64311,3,"Pursers and flight attendants"
64312,3,"Airline ticket and service agents"
64313,3,"Ground and water transport ticket agents, cargo service representatives and related clerks"
64314,3,"Hotel front desk clerks"
64320,3,"Tour and travel guides"
64321,3,"Casino workers"
64322,3,"Outdoor sport and recreational guides"
64400,4,"Customer services representatives - financial institutions"
64401,4,"Postal services representatives"
64409,4,"Other customer and information services representatives"
64410,4,"Security guards and related security service occupations"
65100,1,"Cashiers"
65101,1,"Service station attendants"
65102,1,"Store shelf stockers, clerks and order fillers"
65109,1,"Other sales related occupations"
65200,2,"Food and beverage servers"
65201,2,"Food counter attendants, kitchen helpers and related support occupations"
65202,2,"Meat cutters and fishmongers – retail and wholesale"
65210,2,"Support occupations in accommodation, travel and facilities set-up services"
65211,2,"Operators and attendants in amusement, recreation and sport"
65220,2,"Pet groomers and animal care workers"
65229,2,"Other support occupations in personal services"
65310,3,"Light duty cleaners"
65311,3,"Specialized cleaners"
65312,3,"Janitors, caretakers and heavy-duty cleaners"
65320,3,"Dry cleaning, laundry and related occupations"
65329,3,"Other service support occupations"
70010,0,"Construction managers"
70011,0,"Home building and renovation managers"
70012,0,"Facility operation and maintenance managers"
70020,0,"Managers in transportation"
70021,0,"Postal and courier services managers"
72010,0,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
72011,0,"Contractors and supervisors, electrical trades and telecommunications occupations"
72012,0,"Contractors and supervisors, pipefitting trades"
72013,0,"Contractors and supervisors, carpentry trades"
72014,0,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
72020,0,"Contractors and supervisors, mechanic trades"
72021,0,"Contractors and supervisors, heavy equipment operator crews"
72022,0,"Supervisors, printing and related occupations"
72023,0,"Supervisors, railway transport operations"
72024,0,"Supervisors, motor transport and other ground transit operators"
72025,0,"Supervisors, mail and message distribution occupations"
72100,1,"Machinists and machining and tooling inspectors"
72101,1,"Tool and die makers"
72102,1,"Sheet metal workers"
72103,1,"Boilermakers"
72104,1,"Structural metal and platework fabricators and fitters"
72105,1,"Ironworkers"
72106,1,"Welders and related machine operators"
72200,2,"Electricians (except industrial and power system)"
72201,2,"Industrial electricians"
72202,2,"Power system electricians"
72203,2,"Electrical power line and cable workers"
72204,2,"Telecommunications line and cable installers and repairers"
72205,2,"Telecommunications equipment installation and cable television service technicians"
72300,3,"Plumbers"
72301,3,"Steamfitters, pipefitters and sprinkler system installers"
72302,3,"Gas fitters"
72310,3,"Carpenters"
72311,3,"Cabinetmakers"
72320,3,"Bricklayers"
72321,3,"Insulators"
72400,4,"Construction millwrights and industrial mechanics"
72401,4,"Heavy-duty equipment mechanics"
72402,4,"Heating, refrigeration and air conditioning mechanics"
72403,4,"Railway carmen/women"
72404,4,"Aircraft mechanics and aircraft inspectors"
72405,4,"Machine fitters"
72406,4,"Elevator constructors and mechanics"
72410,4,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
72411,4,"Auto body collision, refinishing and glass technicians and damage repair estimators"
72420,4,"Oil and solid fuel heating mechanics"
72421,4,"Appliance servicers and repairers"
72422,4,"Electrical mechanics"
72423,4,"Motorcycle, all-terrain vehicle and other related mechanics"
72429,4,"Other small engine and small equipment repairers"
72500,5,"Crane operators"
72501,5,"Water well drillers"
72600,6,"Air pilots, flight engineers and flying instructors"
72601,6,"Air traffic controllers and related occupations"
72602,6,"Deck officers, water transport"
72603,6,"Engineer officers, water transport"
72604,6,"Railway traffic controllers and marine traffic regulators"
72999,9,"Other technical trades and related occupations"
73100,1,"Concrete finishers"
73101,1,"Tilesetters"
73102,1,"Plasterers, drywall installers and finishers and lathers"
73110,1,"Roofers and shinglers"
73111,1,"Glaziers"
73112,1,"Painters and decorators (except interior decorators)"
73113,1,"Floor covering installers"
73200,2,"Residential and commercial installers and servicers"
73201,2,"General building maintenance workers and building superintendents"
73202,2,"Pest controllers and fumigators"
73209,2,"Other repairers and servicers"
73300,3,"Transport truck drivers"
73301,3,"Bus drivers, subway operators and other transit operators"
73310,3,"Railway and yard locomotive engineers"
73311,3,"Railway conductors and brakemen/women"
73400,4,"Heavy equipment operators"
73401,4,"Printing press operators"
73402,4,"Drillers and blasters - surface mining, quarrying and construction"
74100,1,"Mail and parcel sorters and related occupations"
74101,1,"Letter carriers"
74102,1,"Couriers and messengers"
74200,2,"Railway yard and track maintenance workers"
74201,2,"Water transport deck and engine room crew"
